Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[1]	DS_Pr[0]	MV_Pr[1]	MV_Pr[0]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
1	1	0	0	0	0	0.0972	0.9029	0.0000	1.0000	0.1754	0.0000	0.0972	0.0000	0.0972	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9029	1.0000	80.57%	100.00%	64.92%	100.00%	80.57%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-80.57%	-100.00%
10	0	1	0	1	0	0.8843	0.1157	0.4000	0.6000	0.2046	0.4800	0.1157	0.4000	0.1157	0.4000	0.5000	0.5000	1.0000	0.0000	1.0000	0.0000	0.8843	0.4000	76.87%	20.00%	59.09%	4.00%	76.87%	20.00%	-100.00%	100.00%	-100.00%	100.00%	-76.87%	20.00%
100	1	0	0	0	0	0.2466	0.7535	0.2000	0.8000	0.3715	0.3200	0.2466	0.2000	0.2466	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.7535	0.8000	50.69%	60.00%	25.69%	36.00%	50.69%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-50.69%	-60.00%
1000	0	0	0	0	0	0.0372	0.9628	0.0000	1.0000	0.0717	0.0000	0.0372	0.0000	0.0372	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0372	0.0000	92.55%	100.00%	85.66%	100.00%	92.55%	100.00%	100.00%	100.00%	100.00%	100.00%	92.55%	100.00%
101	1	0	0	0	0	0.2983	0.7017	0.2000	0.8000	0.4186	0.3200	0.2983	0.2000	0.2983	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.7017	0.8000	40.34%	60.00%	16.28%	36.00%	40.34%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-40.34%	-60.00%
102	1	0	0	0	0	0.3002	0.6998	0.2000	0.8000	0.4202	0.3200	0.3002	0.2000	0.3002	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.6998	0.8000	39.96%	60.00%	15.97%	36.00%	39.96%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-39.96%	-60.00%
103	1	1	0	1	0	0.9286	0.0714	0.4000	0.6000	0.1326	0.4800	0.0714	0.4000	0.0714	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.0714	0.6000	85.72%	20.00%	73.48%	4.00%	85.72%	20.00%	100.00%	-100.00%	100.00%	-100.00%	85.72%	-20.00%
104	1	0	0	0	0	0.2535	0.7465	0.2000	0.8000	0.3785	0.3200	0.2535	0.2000	0.2535	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.7465	0.8000	49.29%	60.00%	24.30%	36.00%	49.29%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-49.29%	-60.00%
105	1	0	0	0	0	0.0533	0.9467	0.0000	1.0000	0.1010	0.0000	0.0533	0.0000	0.0533	0.0000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9467	1.0000	89.34%	100.00%	79.81%	100.00%	89.34%	100.00%	-100.00%	-100.00%	-100.00%	-100.00%	-89.34%	-100.00%
106	0	1	0	1	0	0.5324	0.4676	0.2000	0.8000	0.4979	0.3200	0.4676	0.2000	0.4676	0.2000	0.5000	0.5000	1.0000	0.0000	1.0000	0.0000	0.5324	0.2000	6.47%	60.00%	0.42%	36.00%	6.47%	60.00%	-100.00%	100.00%	-100.00%	100.00%	-6.47%	60.00%
107	1	1	1	1	1	0.9965	0.0036	0.8000	0.2000	0.0071	0.3200	0.0036	0.2000	0.0036	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0036	0.2000	99.29%	60.00%	98.59%	36.00%	99.29%	60.00%	100.00%	100.00%	100.00%	100.00%	99.29%	60.00%
108	1	1	0	1	0	0.7188	0.2812	0.4000	0.6000	0.4042	0.4800	0.2812	0.4000	0.2812	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.2812	0.6000	43.76%	20.00%	19.15%	4.00%	43.76%	20.00%	100.00%	-100.00%	100.00%	-100.00%	43.76%	-20.00%
109	1	1	1	1	1	1.0000	0.0001	0.8000	0.2000	0.0001	0.3200	0.0001	0.2000	0.0001	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0001	0.2000	99.99%	60.00%	99.98%	36.00%	99.99%	60.00%	100.00%	100.00%	100.00%	100.00%	99.99%	60.00%
11	0	0	0	0	0	0.0317	0.9683	0.0000	1.0000	0.0614	0.0000	0.0317	0.0000	0.0317	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0317	0.0000	93.66%	100.00%	87.72%	100.00%	93.66%	100.00%	100.00%	100.00%	100.00%	100.00%	93.66%	100.00%
110	0	0	0	0	0	0.1155	0.8845	0.0000	1.0000	0.2043	0.0000	0.1155	0.0000	0.1155	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.1155	0.0000	76.91%	100.00%	59.15%	100.00%	76.91%	100.00%	100.00%	100.00%	100.00%	100.00%	76.91%	100.00%
111	0	0	0	0	0	0.0225	0.9775	0.0000	1.0000	0.0440	0.0000	0.0225	0.0000	0.0225	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0225	0.0000	95.50%	100.00%	91.19%	100.00%	95.50%	100.00%	100.00%	100.00%	100.00%	100.00%	95.50%	100.00%
112	1	0	0	0	0	0.1699	0.8301	0.2000	0.8000	0.2820	0.3200	0.1699	0.2000	0.1699	0.2000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.8301	0.8000	66.02%	60.00%	43.59%	36.00%	66.02%	60.00%	-100.00%	-100.00%	-100.00%	-100.00%	-66.02%	-60.00%
113	0	0	0	0	0	0.1094	0.8906	0.2000	0.8000	0.1949	0.3200	0.1094	0.2000	0.1094	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.1094	0.2000	78.11%	60.00%	61.01%	36.00%	78.11%	60.00%	100.00%	100.00%	100.00%	100.00%	78.11%	60.00%
114	0	1	1	1	1	0.9708	0.0292	0.6000	0.4000	0.0567	0.4800	0.0292	0.4000	0.0292	0.4000	0.5000	0.5000	1.0000	1.0000	1.0000	1.0000	0.9708	0.6000	94.16%	20.00%	88.65%	4.00%	94.16%	20.00%	-100.00%	-100.00%	-100.00%	-100.00%	-94.16%	-20.00%
115	1	1	1	1	1	0.9994	0.0006	0.8000	0.2000	0.0012	0.3200	0.0006	0.2000	0.0006	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0006	0.2000	99.88%	60.00%	99.76%	36.00%	99.88%	60.00%	100.00%	100.00%	100.00%	100.00%	99.88%	60.00%
116	1	1	1	1	1	0.9998	0.0002	1.0000	0.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.92%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
117	0	0	0	0	0	0.0809	0.9191	0.0000	1.0000	0.1487	0.0000	0.0809	0.0000	0.0809	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0809	0.0000	83.82%	100.00%	70.25%	100.00%	83.82%	100.00%	100.00%	100.00%	100.00%	100.00%	83.82%	100.00%
118	1	1	1	1	1	0.9686	0.0314	0.6000	0.4000	0.0608	0.4800	0.0314	0.4000	0.0314	0.4000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0314	0.4000	93.73%	20.00%	87.85%	4.00%	93.73%	20.00%	100.00%	100.00%	100.00%	100.00%	93.73%	20.00%
119	1	1	1	1	1	0.9989	0.0011	0.8000	0.2000	0.0022	0.3200	0.0011	0.2000	0.0011	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0011	0.2000	99.78%	60.00%	99.57%	36.00%	99.78%	60.00%	100.00%	100.00%	100.00%	100.00%	99.78%	60.00%
12	0	0	0	0	0	0.0401	0.9599	0.0000	1.0000	0.0770	0.0000	0.0401	0.0000	0.0401	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0401	0.0000	91.98%	100.00%	84.60%	100.00%	91.98%	100.00%	100.00%	100.00%	100.00%	100.00%	91.98%	100.00%
120	0	0	0	0	0	0.0342	0.9658	0.0000	1.0000	0.0660	0.0000	0.0342	0.0000	0.0342	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0342	0.0000	93.16%	100.00%	86.80%	100.00%	93.16%	100.00%	100.00%	100.00%	100.00%	100.00%	93.16%	100.00%
121	1	1	1	1	1	0.9980	0.0020	0.8000	0.2000	0.0040	0.3200	0.0020	0.2000	0.0020	0.2000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0020	0.2000	99.60%	60.00%	99.21%	36.00%	99.60%	60.00%	100.00%	100.00%	100.00%	100.00%	99.60%	60.00%
122	1	1	1	1	1	0.9996	0.0004	1.0000	0.0000	0.0009	0.0000	0.0004	0.0000	0.0004	0.0000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	99.91%	100.00%	99.83%	100.00%	99.91%	100.00%	100.00%	100.00%	100.00%	100.00%	99.91%	100.00%
123	1	1	0	1	0	0.6125	0.3875	0.4000	0.6000	0.4747	0.4800	0.3875	0.4000	0.3875	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.3875	0.6000	22.49%	20.00%	5.06%	4.00%	22.49%	20.00%	100.00%	-100.00%	100.00%	-100.00%	22.49%	-20.00%
124	1	1	0	1	0	0.7977	0.2023	0.4000	0.6000	0.3228	0.4800	0.2023	0.4000	0.2023	0.4000	0.5000	0.5000	0.0000	1.0000	0.0000	1.0000	0.2023	0.6000	59.53%	20.00%	35.44%	4.00%	59.53%	20.00%	100.00%	-100.00%	100.00%	-100.00%	59.53%	-20.00%
