Worker	WorkerQuality_Estm_DS_Exp_n	WorkerQuality_Estm_DS_Exp_w	WorkerQuality_Estm_DS_ML_n	WorkerQuality_Estm_DS_ML_w	WorkerQuality_Estm_DS_Min_n	WorkerQuality_Estm_DS_Min_w	WorkerQuality_Eval_DS_Exp_n	WorkerQuality_Eval_DS_Exp_w	WorkerQuality_Eval_DS_ML_n	WorkerQuality_Eval_DS_ML_w	WorkerQuality_Eval_DS_Min_n	WorkerQuality_Eval_DS_Min_w	Number of labels	Gold Tests
A1264GOK2Z3WSE	27.98%	27.98%	41.10%	41.10%	41.10%	41.10%	14.34%	14.34%	30.36%	30.36%	30.36%	30.36%	22.0000	0.0000
A14PY6OO6SQ3K0	17.77%	17.77%	37.00%	37.00%	37.00%	37.00%	4.39%	4.39%	18.25%	18.25%	18.25%	18.25%	63.0000	0.0000
A17G2QHR8AH5VV	0.03%	0.03%	0.67%	0.67%	0.67%	0.67%	1.23%	1.23%	4.40%	4.40%	4.40%	4.40%	122.0000	0.0000
A17RJ1RVSJ6Z9Y	3.01%	3.01%	27.05%	27.05%	27.05%	27.05%	33.33%	33.33%	66.67%	66.67%	66.67%	66.67%	4.0000	0.0000
A1BENJCLTWP1NH	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
A1C8QK1FPEOOZN	22.14%	22.14%	40.48%	40.48%	40.48%	40.48%	7.54%	7.54%	23.51%	23.51%	23.51%	23.51%	49.0000	0.0000
A1D67BJW63N47G	38.72%	38.72%	55.93%	55.93%	55.93%	55.93%	33.33%	33.33%	50.00%	50.00%	50.00%	50.00%	8.0000	0.0000
A1E3MS4AD1WM8V	6.52%	6.52%	26.27%	26.27%	26.27%	26.27%	10.91%	10.91%	33.33%	33.33%	33.33%	33.33%	21.0000	0.0000
A1N914XTP4CJ7X	20.63%	20.63%	48.49%	48.49%	48.49%	48.49%	N/A	N/A	N/A	N/A	N/A	N/A	2.0000	0.0000
A1NQT28GZTFLGA	56.97%	56.97%	67.77%	67.77%	67.77%	67.77%	2.22%	2.22%	13.33%	13.33%	13.33%	13.33%	8.0000	0.0000
A1OHONE0FHXNA	54.96%	54.96%	69.98%	69.98%	69.98%	69.98%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	3.0000	0.0000
A1OI81FMMZ26J7	24.67%	24.67%	44.75%	44.75%	44.75%	44.75%	17.50%	17.50%	36.49%	36.49%	36.49%	36.49%	87.0000	1.0000
A1OL25WY0BYMMH	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	N/A	N/A	N/A	N/A	N/A	N/A	1.0000	0.0000
A1PRKAHPVVX025	9.72%	9.72%	31.38%	31.38%	31.38%	31.38%	N/A	N/A	N/A	N/A	N/A	N/A	3.0000	0.0000
A1SCNO7L71ITFY	23.89%	23.89%	45.89%	45.89%	45.89%	45.89%	19.78%	19.78%	41.34%	41.34%	41.34%	41.34%	660.0000	8.0000
